sample_id,group,motif,sf_wale,sf_course,pressure,cable_angle,crown_height,cable_tension,mean_stress,L_def_mm,L_flat_mm,L_ratio
215,motif1_cable,1,1.3080676231112105,1.2118629400517813,462.7822214560595,163.90667257693178,0.03848522,0.0,3213.88353196,3880.5837862020676,1196.27364,3.243893083025777
216,motif1_cable,1,1.062624419911245,1.0685276960833845,376.3885063267709,167.66285862802448,0.0972607,0.0,1111.80385489,3927.4261989145693,1196.27364,3.283050020992329
217,motif1_cable,1,1.2352696771780296,0.8570729595757026,895.068838473254,124.7599272285113,0.18763344,0.0,1944.36472816,4173.226387070921,1196.27364,3.488521561898599
218,motif1_cable,1,0.8167384294052699,0.8812250071729041,476.1629400787551,73.76185909313747,0.0,0.0,1505.89222822,3871.726376752327,1196.27364,3.236488916325472
219,motif1_cable,1,0.8834538618121816,1.0507954963244983,277.93150842811394,125.67250962949652,0.1274628,0.0,1044.63364314,4102.367236858567,1196.27364,3.4292883331096116
220,motif1_cable,1,0.911248486624454,1.0125198018624904,358.8121840028757,159.32644730252912,0.17431201,0.0,908.65715417,4091.8514263069774,1196.27364,3.420497860595656
221,motif1_cable,1,1.275769259818153,1.1376827380426258,294.5073671812562,10.104242698127512,0.03308235,7.97326529,2230.5357758,3878.197444641292,1196.27364,3.2418982705673365
222,motif1_cable,1,1.3793150416599458,0.9220850620437578,321.700386354516,133.93359369258073,0.0481699,0.0,2366.54519667,3885.0634249607183,1196.27364,3.247637743619193
223,motif1_cable,1,1.3918196587421146,1.179284683015862,200.15532705870427,137.36286628594385,0.01601885,0.0,3075.95572848,3873.2802015686584,1196.27364,3.237787803774276
224,motif1_cable,1,0.9347439559717136,0.9682554476652864,360.6453269755527,96.22879520918748,0.20668016,0.0,593.024857,4170.3674897012015,1196.27364,3.4861317262672467
225,motif1_cable,1,1.0641478445510164,1.2166867889469837,854.0902262562844,160.7260491184454,0.0880247,0.0,3157.38866482,3917.510988288177,1196.27364,3.274761607459793
226,motif1_cable,1,1.0318214662522385,1.3376304859676809,420.43349018140486,113.05645677021354,0.02761579,0.0,4860.70917801,3877.6007008750717,1196.27364,3.2413994350615902
227,motif1_cable,1,0.9456066772834896,0.8533199676839924,908.6217211338115,40.448715623784864,0.0,0.0,1663.75228254,3871.726376752327,1196.27364,3.236488916325472
228,motif1_cable,1,1.0723175397714158,1.0085563156639263,588.0904764559918,27.560095052284016,0.16332525,114.84565258,846.97781048,4031.7755527295935,1196.27364,3.370278687014782
229,motif1_cable,1,1.194780669471165,0.8355758958040997,922.2539478259654,88.7770638215947,0.21492158,0.0,1776.61731773,4235.637026895031,1196.27364,3.540692434629783
230,motif1_cable,1,0.8846715552818433,1.149371179804506,1069.0299283397665,67.16428625208717,0.1525455,0.0,2672.25551698,4038.658854390297,1196.27364,3.3760326394806275
231,motif1_cable,1,1.303328917694545,1.243829794573909,524.6995752969128,149.5607822108321,0.03988857,0.0,3631.03933794,3881.995132510587,1196.27364,3.2450728685374925
232,motif1_cable,1,1.2193279838336015,0.9574533994462532,266.7016671832512,170.57355829876076,0.0776692,0.0,1292.27355914,3907.110450853914,1196.27364,3.266067495104142
233,motif1_cable,1,0.8702289031116351,1.0338073954164206,470.1653152189826,151.55669567842062,0.17604787,0.0,1224.54313245,4156.39397112864,1196.27364,3.4744508548467565
234,motif1_cable,1,1.176887517770392,1.156781675443993,1092.831057214772,107.54563269107152,0.12060218,0.0,2571.50716906,3959.7054596458347,1196.27364,3.3100331957877427
235,motif1_cable,1,1.3338047927084458,1.1123574825601,943.6465329387626,46.91499637593047,0.09432235,0.0,2412.60620169,3925.514820232756,1196.27364,3.2814522438467812
236,motif1_cable,1,1.2424299770009612,1.0972078168744517,584.993913549919,55.44662695986084,0.07864766,0.0,1826.78417437,3908.441456584164,1196.27364,3.2671801215850285
237,motif1_cable,1,0.8679170696991587,1.3842405938787796,440.530348193874,55.08829970801949,0.0230465,0.0,5728.72838749,3876.9205679877396,1196.27364,3.2408308921592055
238,motif1_cable,1,1.281902333497421,1.0761334640538245,222.32853020044885,77.82320882687775,0.03092263,0.0,1711.15047995,3877.3697969179366,1196.27364,3.241206415714332
239,motif1_cable,1,1.0038028866621092,0.9814834526553612,563.7698963972516,106.39746728676111,0.20220075,0.0,740.14341587,4132.209525233787,1196.27364,3.454234371689229
240,motif1_cable,1,1.1209520359880123,0.8310432395730455,998.174382991184,12.288780013731737,0.0,0.0,2044.15778652,3871.726376752327,1196.27364,3.236488916325472
241,motif1_cable,1,1.3925126209747432,0.8403594319050613,1028.4559814968964,90.82017895994632,0.13463805,0.0,2809.24559535,3993.6180590180834,1196.27364,3.3383817259553457
242,motif1_cable,1,1.3415609613079311,1.117632891677586,1036.9587307346558,122.30624036185765,0.09956762,0.0,2519.45505386,3932.0999811981765,1196.27364,3.286956971816396
243,motif1_cable,1,0.8732684725480839,0.9079300285535176,538.8599438158783,44.44248044532475,0.28525844,0.0,714.72500044,4469.8014098229,1196.27364,3.7364372668304386
