sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path
304,motif2_nocable,2,False,1.0626437954529049,0.8160695738176531,71.2949508217963,930.4111463551507,1.325,0.20507598,2574.13520085,2014.23870373,0.0,95.87146071,,
305,motif2_nocable,2,False,0.8624818356979856,1.0006787901488998,87.27665045226794,1198.8992126928754,1.325,0.32401132,2105.21941262,1179.65338111,0.0,35.33033987,,
306,motif2_nocable,2,False,0.8907821584704018,1.387109314558415,53.06272420685665,1022.2155197710089,1.325,0.12918514,2875.9326231,2665.29064,0.0,149.36446564,,
307,motif2_nocable,2,False,1.0117521116477874,1.3338590713541063,2.837246402502084,564.3529832820136,1.325,0.07727287,1898.76048007,1866.62619666,0.0,110.74560991,,
308,motif2_nocable,2,False,0.8339611681118259,1.3448240494352475,32.94564019828922,272.33181857856334,1.325,0.07382037,2922.66147772,2293.15631416,0.0,126.54040537,,
309,motif2_nocable,2,False,1.3486564906350074,1.3133329263704836,57.80048518583906,743.8604990312608,1.325,0.04174661,5231.84638317,5205.34267866,0.0,262.81040977,,
310,motif2_nocable,2,False,1.3943331265863699,1.2061733591902164,73.8330940925611,405.16550458959455,1.325,0.02127944,5814.96861551,5808.71498204,0.0,298.13258434,,
311,motif2_nocable,2,False,1.0238895145569145,0.8668662072983218,66.97888627397009,519.2042856388309,1.325,0.19144605,1734.60533073,1267.60523988,0.0,54.7830797,,
312,motif2_nocable,2,False,1.1296696789456873,1.0776807262120047,55.42965449714246,345.11649492461294,1.325,0.05993769,1824.01308119,1790.42220343,0.0,85.96104514,,
313,motif2_nocable,2,False,0.9053239477617763,1.316890275454603,28.42831849474017,290.2982810058637,1.325,0.07114091,2191.22372898,1990.83822967,0.0,102.00685123,,
314,motif2_nocable,2,False,1.2091656882923645,0.8366848241037046,75.91870032611726,1121.5292651199084,1.325,0.12036135,3562.58326902,3384.48632298,0.0,175.25254515,,
