motif,sf,knit_dir,pressure,crown_height,mean_stress,max_stress,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
2,1.1,0.0,1000.0,0.19504467,1487.25740325,1719.38102353,1.2232326463356826,1.0762865083882682,0.05311362139733365,0.05534536005817459,1499.5843431818182,1613.8478478260868,1239.2750909090907,1838.1093369565215,False
2,1.1099999999999999,0.0,1000.0,0.1876659,1543.14370538,1764.63139954,1.0970722327798295,0.9987382991951377,0.05308889162522133,0.05533517973557392,1555.2408204545454,1663.8862108695653,1276.474334090909,1894.7210586956521,False
2,1.12,0.0,1000.0,0.18049581,1602.14029981,1813.10544057,1.1669675547872955,1.028058537244971,0.0530654706960549,0.05532575766392873,1613.9753249999997,1717.070913043478,1316.2165636363634,1954.7769195652177,False
2,1.13,0.0,1000.0,0.17354775,1664.20673285,1864.84314503,1.1377562917864312,1.0030203821740258,0.05304347985928425,0.05531712443955471,1677.3367400000002,1773.4148282608692,1359.0359888888888,2018.3135326086956,False
2,1.1400000000000001,0.0,1000.0,0.16683308,1729.28911563,1919.85955761,1.108085966953449,0.9775790137924911,0.05302298983400768,0.05530927690176066,1742.021648888889,1832.9090695652178,1403.8185755555553,2085.3410717391303,False
2,1.15,0.0,1000.0,0.16036091,1797.32076232,1978.14497105,0.9901453282151946,0.9518932619033207,0.053004044654993594,0.055302211938604684,1809.6431511111111,1895.5237260869567,1451.0911711111114,2155.8438239130433,False
2,1.16,0.0,1000.0,0.15413787,1868.22347284,2039.66619421,1.0481303572353313,0.879174970066122,0.052986630375489875,0.05529590772635624,1880.1287444444445,1961.2093499999996,1500.80452,2229.7817934782606,False
2,1.17,0.0,1000.0,0.14816806,1941.90923955,2104.36870267,1.0182039611103888,0.9003936050642923,0.052970724174204224,0.05529032126369192,1953.3954444444441,2029.8992260869563,1552.8965044444444,2307.093110869565,False
2,1.18,0.0,1000.0,0.1424531,2018.28233022,2172.17949846,0.988534824534396,0.8748610383807917,0.052956270557431614,0.055285427204481215,2029.3518755555554,2101.5120630434785,1607.2946066666668,2387.697236956522,False
2,1.19,0.0,1000.0,0.13699223,2097.2415049,2243.01039767,0.9592590277452306,0.8496358761983127,0.05294319598665783,0.05528116560315367,2107.9003711111113,2175.9550239130435,1663.918306666667,2471.498441304348,False
2,1.2,0.0,1000.0,0.13178256,2178.6822385,2316.76150274,0.9304991295245479,0.9285665199610013,0.0529314153797686,0.05527749217196445,2188.939275555555,2253.1267630434777,1722.681468888889,2558.3894956521735,False
2,1.21,0.0,1000.0,0.12681934,2262.49881131,2393.32462849,0.9023549378972608,0.9007410530788155,0.05292083627304988,0.055274353452995216,2272.365104444444,2332.9204826086957,1783.4947022222225,2648.255315217391,False
2,1.22,0.0,1000.0,0.12209622,2348.58617005,2472.58649981,0.804262139084487,0.8736091808115218,0.052911359184479395,0.05527168866738299,2358.074428888889,2416.4361021276595,1846.2673733333336,2742.084889361702,False
2,1.23,0.0,1000.0,0.11760562,2436.84150073,2554.43159393,0.848234582782898,0.812913768115638,0.052902894010560274,0.05526945287791094,2445.9655844444446,2501.0841382978724,1910.9094022222218,2837.484580851064,False
2,1.24,0.0,1000.0,0.11333898,2527.16548833,2638.74455457,0.8223643057655163,0.7883588970110343,0.05289534079918131,0.055267597530489036,2535.93994,2588.0296702127657,1977.332691111111,2935.5005468085105,False
2,1.25,0.0,1000.0,0.10928705,2619.46326611,2725.41215229,0.79733543102479,0.7968915098204413,0.052888612027261014,0.05526606434651095,2627.903008888889,2677.1671,2045.4522422222224,3036.014563829788,False
2,1.26,0.0,1000.0,0.10544016,2713.64507724,2814.32480217,0.7731680666805414,0.7729749922027912,0.05288261996137127,0.05526483130009928,2721.7651066666667,2768.395104255319,2115.1869288888893,3138.9126531914894,False
2,1.27,0.0,1000.0,0.1017884,2809.62668375,2905.37767489,0.7498683698630331,0.749910058825117,0.0528772942890225,0.05526383949892739,2817.44186,2861.617444680851,2186.4601533333334,3244.086087234043,False
2,1.28,0.0,1000.0,0.09832182,2907.32956365,2998.47145211,0.7274320943340792,0.7276901634378936,0.05287255490396366,0.055263069110212774,2914.854457777778,2957.5873583333328,2259.200031111111,3352.1989020833335,False
2,1.29,0.0,1000.0,0.09503056,3006.68093808,3093.51278335,0.7058539740662672,0.7063097076879894,0.05286834489606202,0.0552624890088298,3013.929708888889,3054.4939479166665,2333.3396644444447,3461.586977083333,False
