sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
2064,material_ext_nocable,3,False,0.9118176778205854,1.194599189689332,26.315379196538917,228.03103468016891,6538.151044189335,17344.679690543348,0.37695426844659813,0.10612682815407413,0.03570809,7438.39691035,7413.99464111,1.04127391,437.1441695,,,,,0.27711211696476384,0.05279680632183544,0.2500211603079344,0.055282238619289,7430.045139999999,7409.07308125,0.10278598534698331
2063,material_ext_nocable,3,False,1.0571225187560005,1.2469914557071156,0.48086887895474406,428.0621072665742,17319.06718154518,13512.961103509562,1.281663363705465,0.15365500990540082,0.0389056,5919.34125419,5884.23921311,3.09596079,423.14013254,,,,,0.30917628152478854,0.05282229257591392,0.2656359163145882,0.05541771475027765,5888.341033333333,5896.711033333333,0.15149422845882987
2067,material_ext_nocable,3,False,0.8260787803096095,1.3185704513900318,29.33103083945084,380.7488006196808,13661.572811331878,17608.349431574705,0.7758576614134203,0.10347275027979727,0.03664795,3801.81711786,3782.74794383,1.94682944,223.16616767,,,,,0.2859650669070073,0.05283545494371817,0.25746207814797095,0.05527367452285001,3789.808873333333,3787.5122875,0.10490086488466714
2068,material_ext_nocable,3,False,1.1196684526774061,0.9322367443458248,25.46038195635373,1065.3157678973578,16322.315003159196,5154.865200448706,3.166390267923673,0.2559124612936704,0.02103915,3888.47222488,3880.56214419,0.39171575,229.91531338,,,,,0.16478853352628214,0.05282143538218071,0.14883012253329406,0.05528411525516973,3883.8674755555553,3882.2643625,0.10176952604475524
2066,material_ext_nocable,3,False,0.8209645271518026,1.248406626252163,2.976745788985191,266.80415373293675,4027.515011379639,11556.272784434505,0.34851332142353214,0.29804094742906423,0.03832125,5123.95597557,5096.21337166,1.739225,274.63265731,,,,,0.29870485973278194,0.052816851568211504,0.27051064620375426,0.055298353208721396,5100.762871111111,5111.775781249999,0.09906340651293201
2069,material_ext_nocable,3,False,1.0699942656355053,0.9698457954310651,43.17954927513743,834.7262498694472,17771.58227688296,7500.282539053651,2.3694550417730387,0.2990935709424347,0.05686727,6726.17166323,6672.25259241,0.24210051,417.07987688,,,,,0.451371005117812,0.052893307701448566,0.406749650686537,0.05541370383023217,6703.570513333332,6661.70935,0.10399785654722336
2070,material_ext_nocable,3,False,1.0423005734157598,0.9057947607264084,6.127683908185145,1047.5697687606116,3870.141336097653,7584.418260856825,0.5102753043132455,0.1582627573517127,0.0,2147.52912553,2147.52912553,0.0,111.47025619,,,,,,,,,,,
2072,material_ext_nocable,3,False,1.0001832847133745,1.3980483204138479,63.31617895760618,845.2536813445756,13992.640499445708,17472.53427967896,0.8008363455162618,0.14488550244735654,0.05229408,1412.69511333,1383.0825909,0.96109286,73.30286055,,,,,0.40585081261463946,0.05293006046432461,0.34922271702221636,0.05544685247714334,1380.361131111111,1398.9993604166666,0.14999359233175014
2073,material_ext_nocable,3,False,0.8754746091550967,1.2306683800093299,7.346456326810253,649.1743424556047,3119.881485018294,11735.442214435336,0.26585120765032977,0.14318284948921828,0.06504029,3537.44609125,3479.67794761,5.80431882,194.59531808,,,,,0.46295928300297423,0.05284867871598456,0.4501854799226303,0.05530345027586883,3499.055517777778,3498.4903875000005,0.02797760793024365
2074,material_ext_nocable,3,False,0.8358183532292478,0.9307081156378073,80.90250131344617,618.5119227315995,3191.736920441855,10139.289629187444,0.3147890076296833,0.17181448120094883,0.05084877,4732.69052471,4695.22947239,3.94296952,253.11589283,,,,,0.3969677634478408,0.05284475529010279,0.33770085637893765,0.05530506660340383,4712.046433333333,4702.900768750001,0.16134323821501237
2071,material_ext_nocable,3,False,0.8576428723504014,1.205666171367344,53.51369469511529,211.15860198737352,1971.7681271587219,11696.606280450434,0.16857608778832806,0.26220577684217017,0.0,2849.11576494,2849.11576494,0.0,151.26253726,,,,,,,,,,,
2076,material_ext_nocable,3,False,1.0022290064381913,1.0900708839706672,44.22803269893057,504.6490386787076,8497.539908355959,10104.64588815785,0.8409537555704609,0.1969188562116862,0.13787141,3866.58324281,2648.98738491,7.62557382,164.5685593,,,,,,0.058935892695801004,,0.15239937598847256,,,
