sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path
2105,material_ext_nocable,3,False,1.2893252184651725,1.1626792559126213,35.045285827528126,1017.0067485186488,9263.361758494204,11945.420125842613,0.775473918950237,0.18224854477519312,0.09010665,871.53673089,810.11511957,0.0,44.819913,,,,
2106,material_ext_nocable,3,False,0.8936501468323691,1.090672130381659,67.47161737729316,488.01132803418216,18345.656351230693,1008.732260297754,18.18684409460196,0.2607855245665172,0.03456981,4417.23551461,4401.27540102,0.0,236.89436177,,,,
2107,material_ext_nocable,3,False,1.0215491570113415,1.1960166614551122,10.852384470633814,601.1409936599593,14617.495682056862,1182.718577192092,12.35923402569735,0.2532313370382604,0.02908809,5803.21685374,5790.54132148,0.0,310.01931412,,,,
2101,material_ext_nocable,3,False,0.9699896519553639,1.2048943727095793,59.126599372043906,796.4956417952237,16603.41625594182,6011.590023748006,2.761900959704866,0.27457651549726286,0.15519793,1346.26156666,1178.34116375,0.0,64.47198787,,,,
2111,material_ext_nocable,3,False,1.2736874229674793,0.8843466782233632,40.10462282966179,496.99516045184083,9879.231851165096,9100.417352130444,1.0855800859344464,0.1388950138895596,0.13162311,1615.73236288,1472.45026124,0.0,75.19494495,,,,
2108,material_ext_nocable,3,False,1.152079290619733,1.3858836586235823,80.56008688410257,361.98923826355224,13846.150788039926,4840.724995887618,2.8603464976429693,0.13761948250414163,0.14335935,3073.93740326,2873.78929463,0.0,148.35392352,,,,
2109,material_ext_nocable,3,False,0.8225744362821317,0.8346738842303758,76.148219477106,545.2126744111002,18152.109648406666,19191.859411343503,0.9458233962300555,0.15702378794835598,0.06498474,3071.91469281,3027.00121987,0.0,158.25414625,,,,
2110,material_ext_nocable,3,False,1.1121029939161153,1.0543821555821997,74.31433669027591,581.037325966407,3515.6223386457755,6305.4989555435495,0.5575486354739583,0.10214354794889526,0.15174713,2319.51563814,1666.41803413,0.0,87.81136422,,,,
2113,material_ext_nocable,3,False,0.9211401017296299,1.273603805159987,33.262523923169596,203.9223606727356,6443.851564233318,12940.901901377218,0.49794454925491244,0.26736612817592853,0.0,1409.82431864,1409.82431864,0.0,60.42405106,,,,
2112,material_ext_nocable,3,False,0.8467374422105709,0.9982988894263194,27.49177739277487,919.8151100459006,17968.354227407006,9307.192428431661,1.9305880227121104,0.23624214033888816,0.0468376,4253.12211135,4222.74652063,0.0,232.13317634,,,,
2115,material_ext_nocable,3,False,1.2624528237320054,1.0666500162390555,67.78424959850642,1088.5338941198777,1449.75685958315,3814.8174324311817,0.38003309077342146,0.2604010468924126,0.09972108,2559.59763531,2470.53804793,0.0,120.45350588,,,,
2116,material_ext_nocable,3,False,1.1830367298454394,1.3692143027050037,44.00102393619064,463.9069227482959,4271.746451467536,11830.722390453144,0.3610723259734876,0.24252436672776215,0.24300591,1479.10119919,1213.93701541,0.0,54.00854712,,,,
2117,material_ext_nocable,3,False,1.013674352839521,0.830292696402088,71.34202961847389,338.74262881180914,11039.868554887822,17968.06858891844,0.6144159846816541,0.1460787750061996,0.0514425,3626.68225393,3592.8436061,0.0,196.36029163,,,,
2119,material_ext_nocable,3,False,1.2825172550372708,1.237700369107158,47.212875801486206,562.1553858480537,7406.761113928008,9408.797428919037,0.7872165566199207,0.20313959595319991,0.07669421,2110.72885332,2055.92776603,0.0,128.46884729,,,,
2120,material_ext_nocable,3,False,1.0768951949081018,0.8710408939220134,18.534597240132417,801.734159847695,19760.255577875967,3385.386351816881,5.83692776077713,0.2450012329508221,0.08803563,2325.16673254,2243.35974412,0.0,130.71230534,,,,
2114,material_ext_nocable,3,False,0.9974397420793267,0.8580149991161096,24.96485674830187,558.9546090255726,19276.70062943674,10502.978218549659,1.8353556703937095,0.24347605641686595,0.23148447,1954.12647992,1590.28931213,0.0,81.75468607,,,,
2118,material_ext_nocable,3,False,1.2695867240365186,1.3619975420914057,19.287538465565955,670.279812128897,15443.682869820786,14714.997594533412,1.049519904478821,0.09872308530954871,0.06698233,3804.78098474,3750.29045542,0.0,198.35238126,,,,
2121,material_ext_nocable,3,False,0.8616382595311053,1.0944924346080058,34.24772367865379,441.524205504088,16535.00921118872,2359.4893976549115,7.007876037765972,0.1643111576622261,0.24789508,1725.02217325,1340.42192326,0.0,52.77962296,,,,
2122,material_ext_nocable,3,False,0.9325300802724223,1.1311716307094606,73.00927264605211,1011.1363566159504,12816.256263442641,3779.2191838622693,3.3912444978501464,0.22003108719353184,0.10642656,3535.62363998,3426.66898924,0.0,172.88278269,,,,
2123,material_ext_nocable,3,False,1.0510432681708979,1.1205618718288937,53.99051692386938,1131.4269845885033,9588.836596456658,16752.46149716441,0.5723837418208484,0.10731916893677254,0.11643552,2971.87521137,2301.06101049,0.0,132.80071314,,,,
2124,material_ext_nocable,3,False,0.8078167454515025,1.211531030161166,70.82340381368971,771.3932870264507,13485.648647326683,1903.432667283739,7.084909741814585,0.2638826177305358,0.15040034,2024.61029649,1856.99465809,0.0,86.53696961,,,,
2126,material_ext_nocable,3,False,1.003112893496356,1.1640324021025745,69.43582710381077,475.71970709001187,9659.890534302847,5528.930946951878,1.7471534057824298,0.1978193821739926,0.03776495,5045.99908449,5024.85049539,0.0,303.98335351,,,,
2127,material_ext_nocable,3,False,1.040195882809343,1.2249808634549277,19.856586098866707,420.3138971450304,14421.461276890157,4110.376899683642,3.508549612080614,0.14196102675389183,0.07456888,1084.38114308,1044.89392024,0.0,50.68346026,,,,
2129,material_ext_nocable,3,False,0.8549793503202318,1.2191918755052296,29.491424858978885,854.1317711285848,3748.7013967612884,18002.52014520073,0.2082320345443774,0.14336580002130841,0.04177087,5152.278364,5131.23894759,0.0,273.87564554,,,,
2125,material_ext_nocable,3,False,0.9030943351451198,1.1346340516162665,69.88837495946366,703.4066089259369,5267.5838617371,14909.668574369134,0.35329986280127523,0.19329215318902457,0.06101817,2814.23289571,2773.41149428,0.0,139.33696308,,,,
2130,material_ext_nocable,3,False,0.9823538157776244,0.9119535276405738,39.60894297322015,1124.8645907400796,14705.942220505201,16610.88964127953,0.8853193620623205,0.11766080472032443,0.08349454,2684.22596982,2605.56383256,0.0,147.00414937,,,,
2131,material_ext_nocable,3,False,1.0800113655554522,1.2939450800523642,86.41507066585905,275.0457225245235,6807.5364608494065,1330.9812513478564,5.114674946739902,0.14021702619147286,0.1757189,2814.07004859,2369.55099746,0.0,120.93014461,,,,
2132,material_ext_nocable,3,False,1.3541495972459212,1.1424648112578302,69.16522423915598,412.64766750296894,19372.80057679997,6941.992653041271,2.7906685508105213,0.18385470838493428,0.35061354,1969.19198741,933.18472211,0.0,20.81095921,,,,
2128,material_ext_nocable,3,False,1.1977611695694375,1.2230676175175577,47.95333322552935,405.13926798035175,14152.272966753333,11345.261151495928,1.247417117841072,0.20454630641704835,0.26111971,2586.21139,1630.85910173,0.0,86.58888091,,,,
2134,material_ext_nocable,3,False,1.0362095646558456,1.2103290019838344,58.15969846023073,1029.340892540673,16911.823936348508,11128.238209572046,1.5197215963441242,0.17472096885552874,0.23905184,2092.40115767,1372.77481704,0.0,66.06002577,,,,
2136,material_ext_nocable,3,False,0.9310986542616323,0.9390347213961154,13.198925159052976,1034.8706633698225,15430.731933171266,15081.604709049194,1.0231492093087806,0.1770035115836876,0.05669932,5942.09789691,5891.29050062,0.0,370.11372101,,,,
2133,material_ext_nocable,3,False,1.3908216105862885,0.9150521224922545,66.59432181615355,883.3023210058298,7338.704101698534,16076.591098085068,0.45648384392712893,0.1886732193648919,0.05689978,2591.89991621,2559.03134746,0.0,127.0458636,,,,
2135,material_ext_nocable,3,False,0.9563345812539441,0.928665966342672,86.10278033096247,596.2073279246699,17889.68022291474,12303.862065468058,1.453989009932402,0.1423345177157386,0.20107471,2009.88101185,1753.01539782,0.0,75.37507254,,,,
2137,material_ext_nocable,3,False,1.0752799455912478,1.151349231412919,42.64092205389696,542.5485025189435,13056.595533265207,3985.634346851665,3.275914044543218,0.09517527841812135,0.17340149,1601.63793559,1383.40035148,0.0,60.66034292,,,,
