factor,multiple,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
s_course,1.0,0.05,0.36516943,0.6384494396926853,2472.62817692,1118.05049799,2.2115532181822037,57.88492884,0.016025229361068847,0.02166498694921601,0.028017949658385083,0.02942753536276417,0.07258813277458306,1.2232627938873277,0.25037657757775644,2.196149010196899,8.771383615206048,1.9242087175606475
s_course,-1.0,-0.05,0.40746492,0.7123973928168763,1608.07503207,928.64759269,1.7316310780625752,33.56054274,0.016498173348774254,0.022196029589649557,0.02884482835947608,0.029484642907328214,0.11128808622224037,1.1315991615217105,0.13559615890433507,2.127602164139086,15.69072591237734,2.370709633931303
s_course,1.5,0.07500000000000001,0.35479526,0.6203116042671496,2986.85672469,1176.32483309,2.5391427951444743,66.14541841,0.023856670263451726,0.03230869305222977,0.04171016660029263,0.03434991450837814,0.06299894390998392,1.2408325443419317,0.27095808626589646,2.210707002417967,8.158852289237668,1.835967035335915
s_course,-1.5,-0.07500000000000001,0.41824355,0.7312423719383618,1616.20782799,898.41711242,1.7989504047140643,30.58351221,0.02492788170092479,0.033505737761628206,0.043583035153520314,0.03482832564119092,0.12110819103234309,1.1045381215982986,0.09839647383302319,2.110679769363574,21.450766344994786,2.5123787390474774
s_course,2.0,0.1,0.3445027,0.6023164529068527,3531.381037,1238.06832878,2.8523312929584783,75.07772034,0.031560584467497106,0.04282918653782259,0.05517942033002925,0.04010465322812209,0.06887765560458853,1.2559626948942593,0.28875754912035223,2.2231678406681663,7.699081279227664,1.7547645813177473
s_course,-2.0,-0.1,0.42910679,0.7502352802199975,1676.47820602,878.4837627,1.9083769981899061,29.53942254,0.03348200135232058,0.04496303925493803,0.05853875830509363,0.04130042286002973,0.13090440369522524,1.0764511405443324,0.05795674208387158,2.0949455390047933,36.146709833570554,2.669225408148133
pressure,0.25,12.5,0.3868944,0.6764326162248512,1639.56438556,1023.37566321,1.6021139103672002,44.0688378,0.0005582265205867978,0.0009455896218762487,0.0009759836941724222,0.024663339767493454,0.0927203632687448,1.1873127644084236,0.21502245872215253,2.1596030700946947,10.043616294450842,2.1021427137974884
pressure,-0.25,-12.5,0.38541577,0.6738474313285886,1627.93961626,1002.54482018,1.623807318627126,43.48158379,0.0005609144888710053,0.0009534264093782622,0.0009806832437622252,0.024532262352168696,0.09089749925150252,1.1750936764237994,0.1841137775681867,2.166073575279412,11.764864117663356,2.1511663323186667
pressure,0.5,25.0,0.38763022,0.6777190981374107,1645.35748937,1033.79780284,1.5915660536808574,44.36108847,0.0011138207496050934,0.0018836124508507612,0.0019473651819744558,0.0247461322054606,0.0936211015890467,1.1931540919895212,0.22989796605817459,2.1564102179208677,9.379857746871926,2.078753490087496
pressure,-0.5,-25.0,0.38467289,0.6725486059593376,1622.10740739,992.13670289,1.6349636120354736,43.18651975,0.0011245737780317504,0.0019149596027592686,0.001966165400201921,0.02448446259418985,0.08997490343574367,1.16869977146266,0.1680502966344095,2.1693492462909103,12.908928396659077,2.176870573710247
